strategy,symbol,timeframe,side,entry_time,exit_time,entry_price,exit_price,sl,tp,qty,pnl
ArbitrageBot,BTCUSDT,1h,buy,2025-07-05 11:00:00,2025-07-05 19:00:00,108059.1,108092.1,,,0.0009254195158020009,0.03053884402146603
DCAInvestmentBot,BTCUSDT,1h,buy,2025-07-05 10:00:00,2025-07-05 19:00:00,108036.6,108092.1,,,0.004628075364665318,0.25685818273892513
LiquiditySweepBot,BTCUSDT,1h,buy,2025-07-05 16:00:00,2025-07-05 19:00:00,108059.3,108092.1,,,0.0027763331977053596,0.09106372888474387
DCAInvestmentBot,BTCUSDT,1m,buy,2025-07-06 00:27:00,2025-07-06 00:27:00,108152.7,108152.7,,,0.004623268055608249,0.0
ArbitrageBot,BTCUSDT,4h,buy,2025-07-04 08:00:00,2025-07-05 16:00:00,108842.3,108092.1,,,0.0009187952166350439,-0.6892801715196073
DCAInvestmentBot,BTCUSDT,4h,buy,2025-07-04 04:00:00,2025-07-05 16:00:00,108661.0,108092.1,,,0.00460132392513603,-2.617693181009861
DCAInvestmentBot,ETHUSDT,1h,buy,2025-07-05 10:00:00,2025-07-05 19:00:00,2517.17,2504.51,,,0.1985775987995073,-2.5139924008017336
LiquiditySweepBot,ETHUSDT,1h,buy,2025-07-05 15:00:00,2025-07-05 19:00:00,2506.88,2504.51,,,0.11960553550631438,-0.28346511914995204
ArbitrageBot,ETHUSDT,4h,buy,2025-07-04 08:00:00,2025-07-05 16:00:00,2548.01,2504.51,,,0.03922384146798153,-1.7062371038571966
DCAInvestmentBot,ETHUSDT,4h,buy,2025-07-04 04:00:00,2025-07-05 16:00:00,2533.85,2504.51,,,0.1971815181005053,-5.785305741068765
LiquiditySweepBot,ETHUSDT,4h,buy,2025-07-05 16:00:00,2025-07-05 16:00:00,2504.51,2504.51,,,0.11962558528859821,0.0
